Date,Open,High,Low,Close,Volume,Adj Close
1/30/2014,59.12,59.9,59.02,59.39,2768300,59.39
1/29/2014,58.61,59.18,58.17,58.46,3585400,58.46
1/28/2014,57.98,59.46,57.88,59.11,3529500,59.11
1/27/2014,58.11,58.88,57.86,58.36,5258000,58.36
1/24/2014,60.3,60.44,59.09,59.09,2850700,59.09
1/23/2014,61.18,61.43,60.32,60.88,2671300,60.88
1/22/2014,60.93,61.81,60.7,61.77,3594000,61.77
1/21/2014,61.5,61.79,60.7,60.85,3198700,60.85
1/17/2014,61.02,61.6,60.8,61.37,3314500,61.37
1/16/2014,61.59,61.98,61.26,61.63,3747800,61.63
1/15/2014,60.44,61.81,60.4,61.68,4220300,61.68
1/14/2014,58.68,60.53,58.63,60.37,4179500,60.37
1/13/2014,59.28,59.44,58.41,58.6,2928700,58.6
1/10/2014,59.35,59.63,58.95,59.53,1829100,59.53
1/9/2014,58.99,59.53,58.72,59.09,2427400,59.09
1/8/2014,59.12,59.28,58.46,58.9,3456000,58.9
1/7/2014,58.26,59.05,58.06,58.97,2963600,58.97
1/6/2014,58.06,58.77,58.01,58.12,3753600,58.12
1/3/2014,59.19,59.69,59.11,59.16,1589000,59.16
1/2/2014,59.06,59.53,58.94,59.29,2745900,59.29
12/31/2013,59.6,59.92,59.56,59.88,1391300,59.88
12/30/2013,59.67,59.8,59.24,59.55,1329100,59.55
12/27/2013,59.73,59.99,59.28,59.51,1266900,59.51
12/26/2013,59.53,59.99,59.48,59.58,1026500,59.58
12/24/2013,59.58,59.78,59.22,59.53,846700,59.53
12/23/2013,59.74,59.89,59.12,59.47,1947900,59.47
12/20/2013,58.42,59.55,58.22,59.26,5363200,59.26
12/19/2013,58.73,58.98,58.07,58.13,3310500,58.13
12/18/2013,57.58,59.07,57.02,59.04,4975300,59.04
12/17/2013,58.5,58.88,57.54,57.67,6351800,57.67
12/16/2013,60.63,60.88,58.4,58.5,8786000,58.5
12/13/2013,58.06,61.09,58,60.89,15848100,60.89
12/12/2013,54.44,54.94,53.93,53.99,6248200,53.99
12/11/2013,55.25,55.6,54.58,54.64,3990000,54.64
12/10/2013,55.38,55.39,54.65,55.32,3787300,55.32
12/9/2013,55.94,56.05,55.24,55.44,3397700,55.44
12/6/2013,55.99,56.1,55.55,55.6,3334300,55.6
12/5/2013,55.63,55.75,54.47,55.04,7792700,55.04
12/4/2013,56.19,56.43,55.42,56.05,3663500,56.05
12/3/2013,56.63,57.06,56.39,56.4,4129500,56.4
12/2/2013,56.74,57.03,56.61,56.76,1950800,56.76
11/29/2013,57.12,57.15,56.62,56.78,965200,56.78
11/27/2013,56.85,57.03,56.68,56.91,2134000,56.91
11/26/2013,56.87,56.89,56.2,56.7,2841000,56.7
11/25/2013,56.62,57.18,56.5,56.95,2986400,56.95
11/22/2013,56.26,56.5,55.89,56.41,2890800,56.41
11/21/2013,56.28,56.59,55.86,56.23,2461200,56.23
11/20/2013,55.98,56.32,55.8,55.94,2931300,55.94
11/19/2013,56.73,56.73,55.65,55.77,3405000,55.77
11/18/2013,57.45,57.49,56.4,56.6,3173600,56.6
11/15/2013,57.54,57.59,56.78,57.35,2909900,57.35
11/14/2013,57.56,57.99,56.91,57.17,4571300,57.17
11/13/2013,55.59,57.59,55.59,57.55,5168600,57.55
11/12/2013,55.84,56.34,55.6,56.24,2929200,56.24
11/11/2013,54.85,56.18,54.49,56.18,4221800,56.18
11/8/2013,53.42,54.93,53.33,54.84,5940900,54.84
11/7/2013,55.05,55.17,53.1,53.17,5526600,53.17
11/6/2013,54.9,55.11,54.54,54.88,3286100,54.88
11/5/2013,55.24,55.28,54.67,54.79,3616600,54.79
11/4/2013,55.01,55.42,54.66,55.39,3433600,55.39
11/1/2013,54.61,54.68,54.14,54.61,2720000,54.61
10/31/2013,54.01,54.56,53.9,54.22,3509500,54.22
10/30/2013,54.87,55.07,53.69,54.1,3482400,54.1
10/29/2013,54,55.12,53.91,54.86,5148300,54.86
10/28/2013,53.91,54.37,53.59,53.93,3505000,53.93
10/25/2013,54.07,54.2,53.46,53.81,6186100,53.81
10/24/2013,53.06,54.58,53.05,54.21,5717200,54.21
10/23/2013,52.75,53.45,52.16,53.06,4386800,53.06
10/22/2013,53.47,53.57,52.99,53.17,4375700,53.17
10/21/2013,52.73,53.27,52.71,53.08,3739700,53.08
10/18/2013,52.15,52.78,52,52.63,4210100,52.63
10/17/2013,51.87,52.31,51.7,52.07,3776600,52.07
10/16/2013,51.54,52.58,51.54,51.91,3367700,51.91
10/15/2013,52.31,52.78,51.81,51.93,3658800,51.93
10/14/2013,51.9,52.83,51.72,52.63,4910000,52.63
10/11/2013,50.82,52.22,50.82,52.19,3410500,52.19
10/10/2013,50.06,51.22,49.86,51.17,3740900,51.17
10/9/2013,49.62,49.87,48.87,49.45,4347300,49.45
10/8/2013,50.93,50.97,49.44,49.58,4953800,49.58
10/7/2013,51.05,51.34,50.79,50.82,2582700,50.82
10/4/2013,50.09,51.67,50.02,51.57,3880900,51.57
10/3/2013,51.61,51.65,50.54,50.88,3862200,50.88
10/2/2013,51.79,52.28,51.29,51.52,3691200,51.52
10/1/2013,52.1,52.48,51.84,52.43,3243300,52.43
9/30/2013,51.5,52.15,51.2,51.94,2747000,51.94
9/27/2013,51.71,52.48,51.65,52.03,2382000,52.03
9/26/2013,52,52.38,51.81,52.1,2902900,52.1
9/25/2013,51.48,52.08,51.42,51.87,4009400,51.87
9/24/2013,51.79,51.88,51.07,51.42,3103300,51.42
9/23/2013,52.07,52.47,51.62,51.8,3183400,51.8
9/20/2013,51.87,52.96,51.68,52.31,12323000,52.31
9/19/2013,52.05,52.4,51.58,51.87,7183400,51.87
9/18/2013,51.68,52.67,51.06,52.58,15267900,52.58
9/17/2013,48.19,48.49,47.92,48.14,6917200,48.14
9/16/2013,48.17,48.7,47.97,48.14,4474800,48.14
9/13/2013,47.66,47.96,47.64,47.76,2571600,47.76
9/12/2013,48.07,48.09,47.56,47.64,3024100,47.64
9/11/2013,48,48.33,47.95,48.2,2650200,48.2
9/10/2013,47.62,48.06,47.51,48.02,2831100,48.02
9/9/2013,47.11,47.27,46.99,47.25,1931700,47.25
9/6/2013,46.89,47.3,46.26,46.87,3140900,46.87
9/5/2013,46.88,47.34,46.68,46.73,2379800,46.73
9/4/2013,45.76,47.17,45.76,46.93,5402200,46.93
9/3/2013,46.21,46.57,45.7,45.88,1955500,45.88
8/30/2013,45.88,46.11,45.57,45.75,2211500,45.75
8/29/2013,45.5,46.14,45.35,45.93,1738900,45.93
8/28/2013,45.58,45.91,45.49,45.53,1971500,45.53
8/27/2013,45.55,45.88,45.27,45.5,2287600,45.5
8/26/2013,46.25,46.61,46.01,46.06,2590500,46.06
8/23/2013,45.85,45.88,45.41,45.77,2410900,45.77
8/22/2013,45.1,45.71,45.09,45.68,1699600,45.68
8/21/2013,45.01,45.51,44.8,45.14,2515500,45.14
8/20/2013,44.77,45.45,44.7,45.07,2213900,45.07
8/19/2013,45.44,45.52,44.88,44.89,2185800,44.89
8/16/2013,45.94,45.95,45.3,45.4,2829200,45.4
8/15/2013,46.37,46.39,45.7,45.87,2616800,45.87
8/14/2013,47.14,47.14,46.68,46.84,2115100,46.84
8/13/2013,47.37,47.41,46.92,47.14,1960300,47.14
8/12/2013,46.87,47.33,46.85,47.2,1807900,47.2
8/9/2013,47.38,47.77,47.09,47.18,1891300,47.18
8/8/2013,47.32,47.66,47.03,47.51,2974200,47.51
8/7/2013,47.17,47.48,46.83,47.1,2396700,47.1
8/6/2013,47.55,47.85,47.37,47.39,1642800,47.39
8/5/2013,47.45,47.84,47.35,47.63,2172200,47.63
8/2/2013,47.38,47.82,47.13,47.45,3761000,47.45
8/1/2013,47.62,47.82,47.41,47.7,3497600,47.7
7/31/2013,47.5,47.71,47.18,47.28,3813500,47.28
7/30/2013,47.19,47.5,47.12,47.36,2758000,47.36
7/29/2013,47.51,47.77,47.11,47.17,2352400,47.17
7/26/2013,47.77,47.86,47.4,47.64,2918000,47.64
7/25/2013,47.8,47.96,47.45,47.79,2242800,47.79
7/24/2013,48.38,48.58,47.65,47.8,2407400,47.8
7/23/2013,48.35,48.45,47.95,48.07,1708600,48.07
7/22/2013,48.52,48.52,47.92,48.28,1782900,48.28
7/19/2013,48.26,48.47,47.93,48.07,2764000,48.07
7/18/2013,48.04,48.52,48.01,48.19,2641600,48.19
7/17/2013,48.17,48.4,47.78,48.04,3135800,48.04
7/16/2013,48.05,48.13,47.36,47.49,2473100,47.49
7/15/2013,48.25,48.46,48.1,48.12,2122800,48.12
7/12/2013,48.35,48.63,48.08,48.39,4135700,48.39
7/11/2013,47.62,48,47.5,47.99,3293500,47.99
7/10/2013,47.09,47.33,46.64,47.25,2684700,47.25
7/9/2013,46.76,47.31,46.73,47.26,2578900,47.26
7/8/2013,47.03,47.49,46.44,46.63,2813100,46.63
7/5/2013,46.69,47.1,46.55,47,1614600,47
7/3/2013,45.71,46.82,45.66,46.42,1597300,46.42
7/2/2013,46,46.48,45.72,46.03,3025100,46.03
7/1/2013,45.23,47.19,44.88,46.24,6341400,46.24
6/28/2013,45.99,45.99,45.39,45.56,4052600,45.56
6/27/2013,45.9,46.27,45.59,45.93,2916500,45.93
6/26/2013,44.95,45.92,44.9,45.68,5356400,45.68
6/25/2013,44.04,44.44,43.46,44.37,3366300,44.37
